Jack Matthews;Lady in the Water;3.0
Jack Matthews;Snakes on a Planet;4.0
Jack Matthews;You, Me and Dupree;3.5
Jack Matthews;Superman Returns;5.0
Jack Matthews;The Night Listener;3.0
Mick LaSalle;Lady in the Water;3.0
Mick LaSalle;Snakes on a Planet;4.0
Mick LaSalle;Just My Luck;2.0
Mick LaSalle;Superman Returns;3.0
Mick LaSalle;You, Me and Dupree;2.0
Mick LaSalle;The Night Listener;3.0
Claudia Puig;Snakes on a Planet;3.5
Claudia Puig;Just My Luck;3.0
Claudia Puig;You, Me and Dupree;2.5
Claudia Puig;Superman Returns;4.0
Claudia Puig;The Night Listener;4.5
Lisa Rose;Lady in the Water;2.5
Lisa Rose;Snakes on a Planet;3.5
Lisa Rose;Just My Luck;3.0
Lisa Rose;Superman Returns;3.5
Lisa Rose;The Night Listener;3.0
Lisa Rose;You, Me and Dupree;2.5
Toby;Snakes on a Planet;4.5
Toby;Superman Returns;4.0
Toby;You, Me and Dupree;1.0
Gene Seymour;Lady in the Water;3.0
Gene Seymour;Snakes on a Planet;3.5
Gene Seymour;Just My Luck;1.5
Gene Seymour;Superman Returns;5.0
Gene Seymour;You, Me and Dupree;3.5
Gene Seymour;The Night Listener;3.0
Michael Phillips;Lady in the Water;2.5
Michael Phillips;Snakes on a Planet;3.0
Michael Phillips;Superman Returns;3.5
Michael Phillips;The Night Listener;4.0